PID 31: AUROC 0.984, Thr 0.89
PID 10: AUROC 0.521, Thr 0.50
PID 10: AUROC 0.512, Thr 0.39
PID 15: AUROC 0.782, Thr 0.50
PID 16: AUROC 0.784, Thr 0.46
PID 16: AUROC 0.781, Thr 0.41
PID 15: AUROC 0.764, Thr 0.48
PID 31: AUROC 0.985, Thr 0.58
PID 10: AUROC 0.578, Thr 0.00
PID 18: AUROC 0.924, Thr 0.53
PID 20: AUROC 0.700, Thr 0.44
PID 22: AUROC 0.880, Thr 0.47
PID 23: AUROC 0.868, Thr 0.67
PID 24: AUROC 0.926, Thr 0.50
PID 25: AUROC 0.837, Thr 0.57
PID 26: AUROC 0.865, Thr 0.50
PID 30: AUROC 0.752, Thr 0.60
PID 34: AUROC 1.000, Thr 0.49
PID 35: AUROC 1.000, Thr 0.50
PID 36: AUROC 0.756, Thr 0.00
PID 36: AUROC 0.818, Thr 0.33
PID 39: AUROC 0.907, Thr 0.76
